acronym,id,parent_structure_id
VIIn,798,967
iVIIn,1131,798
gVIIn,1116,798
VIIIn,933,967
cvb,1076,933
vVIIIn,413,933
cVIIIn,948,933
tb,841,948
ias,641,948
das,506,948
ll,658,948
cic,633,948
bic,482,948
IXn,808,967
Xn,917,967
ts,237,917
XIn,717,967
XIIn,813,967
vrt,925,967
drt,792,967
cett,932,792
dl,570,932
dcm,522,932
vc,858,932
fpr,586,932
dc,514,932
cuf,380,514
grf,388,514
iaf,396,514
ml,697,932
sst,871,967
sttl,29,871
sttv,389,871
scrt,245,871
sop,261,871
srp,270,871
svp,293,871
stp,277,871
shp,253,871
step,285,871
hht,627,285
cbf,960,1009
cbc,744,960
cbp,752,960
scp,326,752
dscp,812,326
sct,85,812
uf,850,326
sctv,866,326
mcp,78,752
icp,1123,752
sctd,553,1123
cct,499,1123
jrb,650,1123
bct,490,1123
oct,404,490
rct,410,490
tct,373,752
arb,728,960
scwm,484682512,1009
lfbs,983,1009
cc,776,983
fa,956,776
ec,579,956
ee,964,776
ccg,1108,776
fp,971,776
ccr,979,776
ccb,484682516,776
ccs,986,776
cst,784,983
int,6,784
cpd,924,784
cte,1036,784
crt,1012,784
cpt,1003,784
cbt,994,784
py,190,784
pyd,198,784
cstc,1019,784
cstu,1028,784
lfbst,896,983
em,1092,896
im,14,896
mtc,86,896
tp,365,896
or,484682520,896
ar,484682524,896
eps,1000,1009
epsc,760,1000
pap,142,760
nst,102,760
ntt,109,760
ptf,134,760
snp,309,760
stf,317,760
tsp,877,1000
tspd,1051,877
dtd,1060,877
tspc,1043,877
rust,863,1000
vtd,397,863
rrt,221,863
ctb,736,1000
rst,855,1000
rstl,205,855
rstm,213,855
vsp,941,1000
mfbs,991,1009
mfbc,768,991
amc,884,768
apd,892,768
act,908,768
cing,940,768
fxs,1099,768
alv,466,1099
df,530,1099
fi,603,1099
fxprg,745,1099
db,420,745
fxpo,737,1099
mct,428,737
fx,436,737
hc,618,1099
dhc,443,618
vhc,449,618
per,713,1099
ab,474,1099
lab,37,768
st,301,768
stc,484682528,301
mfsbshy,824,991
mfb,54,824
vlt,405,824
poc,174,824
sup,349,824
supa,817,349
supd,825,349
supv,833,349
pmx,166,824
smd,341,824
php,182,824
phpd,762,182
phpl,770,182
phpm,779,182
phpv,787,182
pvbh,150,824
mfbsma,46,824
pm,753,46
mtt,690,46
mtg,681,46
mp,673,46
mfbst,1068,824
pvbt,722,1068
mfbse,1083,824
sm,802,1083
fr,595,1083
hbc,611,1083
PIS,730,1083
mfbsm,70,824
dlf,547,70
dtt,563,70
VS,73,997
VL,81,73
RC,89,81
SEZ,98,81
chpl,108,81
chfl,116,81
IVF,124,73
V3,129,73
AQ,140,73
V4,145,73
V4r,153,145
c,164,73
grv,1024,997
grv of CTX,1032,1024
eg,1055,1032
hf,1063,1032
rf,1071,1032
ri,1078,1032
grv of CBX,1040,1024
pce,1087,1040
pcf,1095,1040
pri,1103,1040
psf,1112,1040
ppf,1119,1040
sec,3,1040
plf,11,1040
nf,18,1040
sif,25,1040
icf,34,1040
apf,43,1040
ipf,49,1040
pms,57,1040
pfs,65,1040
IPF,624,1024
retina,304325711,997
