acronym,id,parent_structure_id
KF,123,867
PB,881,867
PB,860,867
PB,868,867
PB,875,867
PB,883,867
PB,891,867
PB,890,867
PB,899,867
PB,915,867
PB,923,867
SOC,398,398
POR,122,398
SOC,105,398
SOC,114,398
P-mot,987,771
B0,280,280
DTN,880,880
LT,283,66
PCG,898,898
PG,931,931
PRNc,1093,1093
PR,552,1077
SG,318,318
SSN,462,987
SUT,534,534
TRN,574,574
V0,621,621
P5,549009215,987
Acs5,549009219,987
PC5,549009223,987
I5,549009227,987
P-sat,1117,771
CS,679,679
CS,137,679
CS,130,679
LC,147,147
LDT,162,162
NI,604,604
PRNr,146,146
RPO,238,238
SLC,350,350
SLD,358,358
MY,354,1065
MY-sen,386,354
AP,207,8
CN,607,386
CNlam,112,607
CNspg,560,607
DCO,96,96
VCO,101,101
DCN,720,386
CU,711,711
GR,1039,1039
ECU,903,903
NTB,642,642
NTS,651,651
NTS,659,651
NTS,666,651
NTS,674,651
NTS,682,651
NTS,691,651
SPVC,429,429
SPVI,437,437
SPVO,445,445
SPVO,77,445
SPVO,53,445
SPVO,61,445
SPVO,45,445
SPVO,69,445
z,789,386
MY-mot,370,354
VI0,653,653
ACVI,568,370
VII0,661,661
ACVII,576,576
EV,640,370
AMB,135,135
AMB,939,135
AMB,143,135
DMX,839,839
ECO,887,370
GRN,1048,1048
ICB,372,372
IO,83,83
IRN,136,136
ISN,106,106
LIN,203,203
LRN,235,235
LRN,955,235
LRN,963,235
MARN,307,307
DR,395,872
MDRNd,1098,1098
MDRNv,1107,1107
PARN,852,852
PAS,859,859
PG,938,931
PGRNd,970,970
PGRNl,978,978
PH,154,946
NI,161,604
NR,177,177
PRP,169,169
PMR,995,370
PPY,1069,1069
PPY,185,1069
PPY,193,1069
VNC,701,370
LAV,209,209
MV,202,202
SPIV,225,225
SUV,217,217
x0,765,765
XII,773,773
y0,781,781
INV,76,370
MY-sat,379,354
RM0,206,206
RPA,230,230
RO,222,222
CB,512,8
CBX,528,512
VERM,645,528
LING,912,912
LING,10707,912
LING,10706,912
LING,10705,912
CENT,920,920
CENT,976,920
CENT,10710,920
CENT,10709,920
CENT,10708,920
CENT,984,920
CENT,10713,920
CENT,10712,920
CENT,10711,920
CUL,928,928
CUL,992,928
CUL,10716,928
CUL,10715,928
CUL,10714,928
CUL,1001,928
CUL,10719,928
CUL,10718,928
CUL,10717,928
CUL,1091,928
CUL,10722,928
CUL,10721,928
CUL,10720,928
DEC,936,936
DEC,10725,936
DEC,10724,936
DEC,10723,936
FOTU,944,944
FOTU,10728,944
FOTU,10727,944
FOTU,10726,944
PYR,951,951
PYR,10731,951
PYR,10730,951
PYR,10729,951
UVU,957,957
UVU,10734,957
UVU,10733,957
UVU,10732,957
NOD,968,968
NOD,10737,968
NOD,10736,968
NOD,10735,968
HEM,1073,528
SIM,1007,1007
